"Unnamed: 0","user_id","username","id","date","Tweet","lang","replyCount","followersCount","preprocessed_text","category","sub-category"
15,118291893,"arunjeba",1.57E+018,"2022-09-12 14:01:20+00:00","#IndianPolitics

#BJP says ""Congress mukt bharat"" for past 8 years

Now only after 8 years #Congress posted one tweet resemble to their own tone... All #BJP #Sanghis get rattled... LoL https://t.co/DlIeFp7npp","en",0,3516,"say congress mukt bharat for past year now only after year posted one tweet resemble to their own tone all get rattled lol URL ","Negative","Criticism"
34,118291893,"arunjeba",1.57E+018,"2022-09-12 06:00:30+00:00","#IndianPolitics

#Sanghis knew very well that they are spreading lies... Because they knew, they brainwash a sect of fools for them will always believe it... 

#SmritiIrani the habitual liar... 

#BharatJodoYatra #INC #RahulGandhi https://t.co/e6O0hFEfqf","en",3,3516,"knew very well that they are spreading lie because they knew they brainwash sect of fool for them will always believe it the habitual liar URL ","Negative","Hate"
49,279074306,"HydTechie",1.57E+018,"2022-09-11 17:37:52+00:00","All these #motivationalspeakers #spiritualawakening #billionairesclub #gurus.. If they are so motivated, why dont they join in #indianpolitics #cleanpolitics #voteitright in next #elections2022 #elections2024 #elections  ?
Talk is cheap, including this po…https://t.co/W1UdkFcLyz","en",0,35,"all these if they are so motivated why dont they join in in next talk is cheap including this po URL ","Negative","Criticism"
52,1.5E+018,"TheDalith",1.57E+018,"2022-09-11 13:58:46+00:00","Weird fact ! 

Movies are boycotting based on individuals not on content. 

Stupidity at its peak ! 

#brahmastraboxoffice #indianpolitics","en",0,6,"weird fact movie are boycotting based on individual not on content stupidity at it peak ","Negative","Criticism"
57,723896160,"irfan_in5",1.57E+018,"2022-09-11 07:56:32+00:00","@MANJULtoons Those who are taking side of any one of them, ask your self do you have that much money to spend on such things. 

Ganda he par, pr politicians ka dhandha he tumko ch****ya banana. #IndianPolitics","en",1,28,"those who are taking side of any one of them ask your self do you have that much money to spend on such thing ganda he par pr politician ka dhandha he tumko ch ya banana ","Negative","Hate"
61,7.8E+017,"imran_spyalien",1.57E+018,"2022-09-11 07:28:21+00:00","@IYC Some people are looking for #RahulGandhiTShirt .
How funny 😁. 
#indianpolitics","en",0,32,"some people are looking for how funny ","Negative","Criticism"
64,1.11E+018,"drrahulpraj",1.57E+018,"2022-09-11 06:24:36+00:00","Can you relate to someone?

#indianpolitics #bjp https://t.co/CmFSzewbRY","en",0,857,"can you relate to someone URL ","Negative","Criticism"
67,1.47E+018,"MissMismatch",1.57E+018,"2022-09-11 05:19:24+00:00","@kamaalrkhan @juniorbachchan @Riteishd @Dev_Fadnavis @BJP4India so can bollywood also influence politics now? Extremely unfair. Everybody knows why @kamaalrkhan was put in jail. SHAME. Everyone comes with a price tag. You just need to quote the right amou","en",0,5,"so can bollywood also influence politics now extremely unfair everybody know why wa put in jail shame everyone come with price tag you just need to quote the right amount ","Negative","Hate"
69,602021390,"Devils_ADV",1.57E+018,"2022-09-10 22:55:50+00:00","Would encourage the BJP to do exactly that and expect the opposition parties to come back hard at them digging out all the dirt. The people of this country deserve to know how are all the so called Public servants' spending their monies. #democracy #IndianPolitics https://t.co/043CUYHRvc","en",0,286,"would encourage the bjp to do exactly that and expect the opposition party to come back hard at them digging out all the dirt the people of this country deserve to know how are all the so called public servant spending their monies URL ","Negative","Criticism"
75,1.52E+018,"its_arpitgupta",1.57E+018,"2022-09-10 18:25:06+00:00","why Indian politicians used religion in dirty politics?
#IndianPolitics #IndianFlag #LeakedOnIndiaToday","en",0,5,"why indian politician used religion in dirty politics ","Negative","Criticism"
77,118291893,"arunjeba",1.57E+018,"2022-09-10 17:54:09+00:00","#IndianPolitics
#TamilnaduPolitics

Arrey #BJP... What's this drama...!!! https://t.co/9JbwBNOP16","en",0,3516,"arrey what this drama URL ","Negative","Criticism"
78,234760229,"atmiksingh",1.57E+018,"2022-09-10 17:47:45+00:00","Kanhaiya Kumar is the worst that student politics can offer. Provocative, vision-less and anarchist. The leeches who feed on the problems instead of providing any solutions. #KanhaiyaKumar #IndianPolitics #NewIndia","en",0,119,"kanhaiya kumar is the worst that student politics can offer provocative vision le and anarchist the leech who feed on the problem instead of providing any solution ","Negative","Hate"
80,2253526416,"bodung_atul",1.57E+018,"2022-09-10 16:42:56+00:00","#greatindia #NarendraModi every year, same problem and in end just some money compensation. What’s our #IndianPolitics @narendramodi will do this time.  #Help those who’re #helpless victim. https://t.co/WTsIohWrcC","en",0,70,"every year same problem and in end just some money compensation what our will do this time those who re victim URL ","Negative","Criticism"
84,1.22E+018,"news8_plus",1.57E+018,"2022-09-10 15:45:41+00:00","Lok Sabha Elections 2024: UP plus Bihar = Modi government gone, message to BJP through poster
 #akhileshyadav #IndianPolitics #Modigovernment
https://t.co/zv5sg0wAE0","en",0,293,"lok sabha election 2024 up plus bihar modi government gone message to bjp through poster URL ","Negative","Hate"
87,118291893,"arunjeba",1.57E+018,"2022-09-10 14:42:47+00:00","#IndianPolitics
#BharatJodoYatra #RahulGandhi

This man #RahulGandhi receiving hearts for him from next gen to women to men to elders... Successfully Uniting people from various walks and ways of life...

No wonder #BJP rattled and instead of #Govern the country watching https://t.co/Y59qX1Oiml","en",1,3516,"this man receiving heart for him from next gen to woman to men to elder successfully uniting people from various walk and way of life no wonder rattled and instead of the country watching URL ","Negative","Hate"
94,1.04E+018,"MaheshPatil_B",1.57E+018,"2022-09-10 10:35:44+00:00","Who says Congress government came, who says BJP government came.  In fact, it is not a government for the masses, but a government of capitalism and a bureaucratic government.
 Come out of delusion Indians
#indianpolitics #speakbenadikar","en",0,2039,"who say congress government came who say bjp government came in fact it is not government for the mass but government of capitalism and bureaucratic government come out of delusion indian ","Negative","Hate"
100,118291893,"arunjeba",1.57E+018,"2022-09-10 08:35:05+00:00","#IndianPolitics
#BharatJodoYatra #RahulGandhi

Pics of the day so far... Inclusiveness on the ways... As usual #BJP and its #GodiMedias get rattled and pick a conversation between #RahulGandhi and #Priest conversation and trying to make religious controversy.... https://t.co/bdNK66jlMx","en",1,3516,"pic of the day so far inclusiveness on the way a usual and it get rattled and pick conversation between and conversation and trying to make religious controversy URL ","Negative","Criticism"
